N,kernel_lang,kernel_name
90734,"""python""","""python3"""
57172,,
56363,"""python""","""python2"""
3540,"""python""","""Python [Root]"""
3400,"""python""","""conda-root-py"""
1395,"""R""","""ir"""
1032,"""julia""","""julia-0.4"""
544,"""julia""","""julia-0.6"""
463,"""julia""","""julia-0.5"""
429,,"""python2"""
429,,"""python3"""
359,"""python""","""django_extensions"""
322,"""haskell""","""haskell"""
314,"""bash""","""bash"""
273,"""julia""","""julia-0.3"""
267,"""c++""","""root"""
249,"""groovy""","""groovy"""
193,"""R""","""R [r]"""
184,"""ruby""","""ruby"""
158,"""python""","""conda-env-py27-py"""
154,"""python2""","""python2"""
148,"""scala""","""apache_toree_scala"""
143,"""julia""","""julia 0.3"""
133,"""lua""","""itorch"""
128,"""julia""","""julia-1.0"""
126,"""python""","""conda-env-py35-py"""
124,"""""","""sagemath"""
100,"""python""","""global-tf-python-3"""
97,"""python""","""vpython"""
96,"""scala""","""scala"""
94,"""python""","""conda-env-python3-py"""
93,"""python""","""cap_env"""
92,"""python""","""conda-env-adventofcode-py"""
86,"""python""","""python2.7"""
85,"""scala211""","""scala211"""
83,"""python""","""work"""
80,"""javascript""","""javascript"""
78,"""python""","""Python [py35]"""
76,"""python""","""pyspark3_2.x"""
76,"""python""","""Python [gl-env]"""
74,"""""","""ir"""
71,"""python""","""conda-env-tensorflow-py"""
70,"""matlab""","""matlab"""
70,"""sos""","""sos"""
68,"""C++14""","""xeus-cling-cpp14"""
67,"""python""","""conda-env-py3-py"""
67,"""python""","""qudi"""
66,"""python""","""conda-env-hodemulator-py"""
66,"""python""","""p3"""
63,"""python""","""python36"""
59,"""fsharp""","""ifsharp"""
58,"""python""","""Python [py27]"""
58,"""""","""xeus-cling-cpp14"""
58,"""python""","""conda-env-py36-py"""
57,"""python""","""conda-env-anaconda-py"""
56,"""python""","""py3"""
55,"""octave""","""octave"""
55,"""python""","""fastai"""
53,"""python3""","""python3"""
53,"""python""","""apache_toree_pyspark"""
52,"""julia""","""julia"""
47,"""python""","""conda-env-skrecipe-py"""
46,"""python""","""conda-env-gt-py"""
45,"""python""","""conda-env-rmg_env-py"""
43,"""""","""python3"""
43,"""python""","""pyspark"""
42,"""python""","""python3.4"""
42,"""python""","""conda-env-stable-py"""
42,"""python""","""Python [python3]"""
40,"""python""","""conda-env-p3-py"""
40,"""python""","""conda-env-mlpy3-py"""
38,"""javascript""","""node_nteract"""
38,"""python""","""conda_py35"""
36,"""python""","""Python [py3]"""
34,"""python""","""conda-env-tflearn-py"""
33,"""python""","""conda-env-py2-py"""
33,"""java""","""java"""
32,"""python""","""python3.5"""
32,"""python""","""conda-env-tf-py"""
32,"""python""","""tensorflow"""
30,"""python""","""conda-env-py34-py"""
30,"""python""","""conda-env-ccns-py"""
29,"""go""","""gophernotes"""
29,"""""","""cling"""
29,"""python""","""seaborn-dev"""
29,"""R""","""ir32"""
28,"""OCaml""","""ocaml-jupyter"""
28,"""python""","""stable"""
28,"""clojure""","""clojure"""
27,"""""","""pyspark"""
27,"""python""","""py36"""
27,"""python""","""Python [new2]"""
27,"""""","""cie"""
27,"""python""","""dspy3"""
27,"""python""","""openmc"""
27,"""python""","""anaconda3"""
25,"""python""","""venv"""
25,"""scala""","""spark"""
24,"""python""","""conda-env-mypy36-py"""
23,"""python""","""conda-env-mayavi_env-py"""
23,"""""","""stable"""
23,"""python""","""python2-spark20"""
22,"""python""","""cvxpy"""
22,"""python""","""conda-env-bml-py"""
20,"""python""","""metatlas"""
20,"""python""","""conda-env-saga-py"""
20,"""python""","""testm3"""
20,"""python""","""conda-env-comoving-rv-py"""
20,"""python""","""conda-env-gl-env-py"""
19,"""scala""","""spark2-scala"""
19,"""julia""","""julia-0.7"""
19,"""python""","""cs231n"""
19,"""J""","""jkernel"""
19,"""groovy""","""scijava"""
18,"""python""","""Python [fluentPy]"""
18,"""python""","""gps"""
18,"""python""","""conda-env-tf12-py"""
18,"""python""","""conda-env-bayes-py"""
18,"""python""","""widgets-2017"""
17,"""python""","""Python [tuthpc]"""
17,"""python""","""conda-env-dl-py"""
17,"""python""","""conda-env-kaggle-py"""
17,"""python""","""conda-env-dlnd-tf-lab-py"""
16,"""python""","""conda-env-emp-py3-py"""
16,"""python""","""conda-env-buda-ratings-py"""
16,"""""","""cling-cpp14"""
16,"""kotlin""","""kotlin"""
16,,"""python3_mydev"""
16,"""python""","""conda-env-hwenv-py"""
16,"""python""","""conda-env-twoface-py"""
16,"""python""","""testenv"""
16,"""python""","""fai3"""
15,"""python""","""mypy27"""
15,"""python""","""conda-env-tensorflow_c-py"""
15,"""python""","""py27"""
15,"""python""","""ioos_python2"""
15,"""python""","""conda-env-ds_ml_portfolio-py"""
15,"""python""","""test"""
15,"""python""","""conda-env-dlnd-py"""
14,"""python""","""ncga (p3)"""
14,"""python""","""conda-env-cntk-py34-py"""
14,"""python""","""conda-env-python2-py"""
14,"""python""","""root"""
14,"""python""","""Python [dato]"""
14,"""python""","""python36test2"""
14,"""sas""","""sas"""
14,"""python""","""geonotebook2"""
14,"""python""","""conda-env-tf14-py"""
14,"""python""","""anaconda_py3"""
14,"""python""","""conda-env-Python 2-py"""
14,"""python""","""virtualenv"""
14,"""python""","""conda-env-isaac_revo_healthcare-py"""
14,"""python""","""conda-env-python27-py"""
13,"""python""","""conda-env-test1-py"""
13,"""r""","""ir-sage"""
13,"""python""","""conda-env-px4-py"""
13,"""ocaml""","""iocaml-kernel"""
13,"""python""","""anaconda_2.5.0_python3"""
13,"""scala""","""spark_geomesa_1.2.4_scala"""
13,"""python""","""conda-env-scisheets_env-py"""
13,"""python""","""conda-env-py3_tf1-py"""
13,"""python""","""python34"""
13,"""python""","""py34"""
13,"""python""","""conda-env-Anaconda3-py"""
13,"""python""","""conda-env-ml_python-py"""
13,"""python""","""conda-env-astroconda-py"""
12,"""python""","""python-for-finance"""
12,"""python""","""KERNEL_NAME"""
12,"""python""","""sourcenet"""
12,"""python""","""conda-env-sims-py"""
12,"""python""","""conda-env-tf-gpu-py"""
12,"""python""","""pyspark3-med"""
12,"""python""","""p35"""
12,"""python""","""python2-spark21"""
12,"""python""","""conda-env-keras-py"""
12,"""python""","""conda-env-phd-py"""
12,"""python""","""conda-env-python35-py"""
12,"""python""","""lsst"""
12,"""python""","""cshl-sca-2017"""
11,"""python""","""conda-env-deepLearning-py"""
11,"""python""","""conda-env-my-py3-env-py"""
11,"""python""","""conda-env-python-2.7-py"""
11,"""python""","""conda-env-Anaconda2-py"""
11,"""python""","""python3_sfam"""
11,"""python""","""sbmlutils"""
11,"""python""","""conda-env-Jadhav-2016-Data-Analysis-py"""
11,"""python""","""neon"""
11,"""python""","""myenv"""
11,"""python""","""augur"""
11,"""python""","""python3.6"""
11,"""R""","""ir33"""
11,"""python""","""py35"""
11,"""""","""r"""
11,"""python""","""deep-learning"""
10,"""python""","""puzzles_venv"""
10,"""julia""","""julia 0.4"""
10,"""python""","""conda-env-PY27_Test-py"""
10,"""python""","""python"""
10,"""python""","""psci"""
10,"""python""","""Python [insight]"""
10,"""python""","""beam_venv_kernel"""
10,"""python""","""conda-env-myconda-py"""
10,"""python""","""conda_drl"""
10,"""python""","""conda-env-cfm-py"""
10,"""scala""","""toree_scala"""
10,"""python""","""legacypipe-master"""
10,"""python""","""conda-env-PY36-py"""
10,"""python""","""conda-env-py2_ley0.4-py"""
10,"""python""","""tensordev"""
10,"""python""","""Python [snowflakes]"""
10,"""javascript""","""eclair"""
10,"""python""","""protein_binding"""
10,"""python""","""scratch"""
10,"""python""","""quant"""
10,"""python""","""pui2016_python2"""
10,"""python""","""conda-env-kwturing-py"""
9,"""python""","""conda-env-tensorflow1.1-py"""
9,"""ncl""","""ncl_kernel"""
9,"""python""","""conda-env-ds100-py"""
9,"""go""","""lgo"""
9,"""python""","""jyidv_kernel"""
9,"""scheme""","""calysto_scheme"""
9,"""""","""python3.4"""
9,"""python""","""conda-env-IOOS3-py"""
9,"""python""","""pyspark1.6"""
9,"""racket""","""racket"""
9,"""python""","""conda-env-lab_conda-py"""
